Iteration,Move,Q,V,N,tU,tR,tT
0,"(1, 1)",0.0,0.0,2.0,3.0994415283203125e-06,0.0031740665435791016,0.0034220218658447266
1,"(2, 3)",0.0,0.0,2.0,0.0,0.0030519962310791016,0.003268003463745117
2,"(3, 5)",0.5,1.0,2.0,9.5367431640625e-07,0.0031549930572509766,0.0033740997314453125
3,"(3, 5)",0.6666666666666666,2.0,3.0,1.0967254638671875e-05,0.0028510093688964844,0.003052949905395508
4,"(3, 5)",0.5,2.0,4.0,8.106231689453125e-06,0.0029680728912353516,0.003164052963256836
5,"(3, 5)",0.4,2.0,5.0,6.9141387939453125e-06,0.003139019012451172,0.0033490657806396484
6,"(2, 3)",0.0,0.0,3.0,7.867813110351562e-06,0.0028951168060302734,0.0030908584594726562
7,"(1, 1)",0.3333333333333333,1.0,3.0,7.152557373046875e-06,0.0028781890869140625,0.003072023391723633
8,"(1, 1)",0.25,1.0,4.0,6.9141387939453125e-06,0.0030241012573242188,0.00321197509765625
9,"(3, 5)",0.3333333333333333,2.0,6.0,7.152557373046875e-06,0.003270864486694336,0.003467082977294922
10,"(1, 1)",0.4,2.0,5.0,6.9141387939453125e-06,0.003023862838745117,0.003216981887817383
11,"(1, 1)",0.3333333333333333,2.0,6.0,6.9141387939453125e-06,0.0029931068420410156,0.0031938552856445312
12,"(2, 3)",0.25,1.0,4.0,9.059906005859375e-06,0.003676891326904297,0.003938913345336914
13,"(2, 3)",0.4,2.0,5.0,1.2874603271484375e-05,0.003654956817626953,0.003942966461181641
14,"(2, 3)",0.3333333333333333,2.0,6.0,9.059906005859375e-06,0.003367185592651367,0.0035920143127441406
15,"(2, 3)",0.2857142857142857,2.0,7.0,7.867813110351562e-06,0.0033380985260009766,0.0035610198974609375
16,"(1, 1)",0.2857142857142857,2.0,7.0,9.059906005859375e-06,0.003431081771850586,0.0036668777465820312
17,"(3, 5)",0.42857142857142855,3.0,7.0,1.5020370483398438e-05,0.0036139488220214844,0.0038759708404541016
18,"(3, 5)",0.5,4.0,8.0,1.4066696166992188e-05,0.004018068313598633,0.004286050796508789
19,"(3, 5)",0.4444444444444444,4.0,9.0,2.4080276489257812e-05,0.003629922866821289,0.003961086273193359
20,"(3, 5)",0.5,5.0,10.0,2.193450927734375e-05,0.003529071807861328,0.0038559436798095703
21,"(3, 5)",0.45454545454545453,5.0,11.0,1.5020370483398438e-05,0.003063201904296875,0.0033309459686279297
22,"(2, 3)",0.375,3.0,8.0,8.106231689453125e-06,0.0031270980834960938,0.003339052200317383
23,"(2, 3)",0.4444444444444444,4.0,9.0,8.106231689453125e-06,0.002981901168823242,0.003197908401489258
24,"(2, 3)",0.5,5.0,10.0,1.3828277587890625e-05,0.002897977828979492,0.003136873245239258
25,"(2, 3)",0.45454545454545453,5.0,11.0,1.4066696166992188e-05,0.0027480125427246094,0.003000020980834961
26,"(1, 1)",0.375,3.0,8.0,6.9141387939453125e-06,0.0030918121337890625,0.0032799243927001953
27,"(1, 1)",0.4444444444444444,4.0,9.0,6.9141387939453125e-06,0.0031049251556396484,0.003290891647338867
28,"(1, 1)",0.5,5.0,10.0,6.9141387939453125e-06,0.0029549598693847656,0.0031468868255615234
29,"(1, 1)",0.5454545454545454,6.0,11.0,6.9141387939453125e-06,0.002897977828979492,0.0030930042266845703
30,"(1, 1)",0.5,6.0,12.0,6.9141387939453125e-06,0.003068208694458008,0.0032570362091064453
31,"(1, 1)",0.5384615384615384,7.0,13.0,1.6927719116210938e-05,0.0030608177185058594,0.0033240318298339844
32,"(1, 1)",0.5714285714285714,8.0,14.0,1.4066696166992188e-05,0.002894163131713867,0.0031549930572509766
33,"(1, 1)",0.5333333333333333,8.0,15.0,1.5020370483398438e-05,0.0028820037841796875,0.0031290054321289062
34,"(2, 3)",0.4166666666666667,5.0,12.0,1.2874603271484375e-05,0.002755880355834961,0.0029897689819335938
35,"(3, 5)",0.4166666666666667,5.0,12.0,1.2874603271484375e-05,0.0029540061950683594,0.0032050609588623047
36,"(1, 1)",0.5,8.0,16.0,1.5020370483398438e-05,0.0029039382934570312,0.0031540393829345703
37,"(2, 3)",0.46153846153846156,6.0,13.0,1.4066696166992188e-05,0.002875804901123047,0.0031380653381347656
38,"(2, 3)",0.5,7.0,14.0,1.2159347534179688e-05,0.002885103225708008,0.003122091293334961
39,"(2, 3)",0.5333333333333333,8.0,15.0,1.3113021850585938e-05,0.002955198287963867,0.0031960010528564453
40,"(2, 3)",0.5,8.0,16.0,1.3828277587890625e-05,0.002950906753540039,0.0032079219818115234
41,"(3, 5)",0.46153846153846156,6.0,13.0,1.3113021850585938e-05,0.0032529830932617188,0.0035359859466552734
42,"(3, 5)",0.5,7.0,14.0,2.288818359375e-05,0.0033559799194335938,0.003715991973876953
43,"(3, 5)",0.4666666666666667,7.0,15.0,1.811981201171875e-05,0.0034198760986328125,0.0037140846252441406
44,"(2, 3)",0.47058823529411764,8.0,17.0,1.5974044799804688e-05,0.0029799938201904297,0.0032329559326171875
45,"(1, 1)",0.47058823529411764,8.0,17.0,1.7881393432617188e-05,0.0033109188079833984,0.003618001937866211
46,"(3, 5)",0.5,8.0,16.0,1.5974044799804688e-05,0.003268003463745117,0.0035660266876220703
47,"(3, 5)",0.5,8.5,17.0,1.6927719116210938e-05,0.0032248497009277344,0.003507852554321289
48,"(3, 5)",0.4722222222222222,8.5,18.0,1.5020370483398438e-05,0.003220081329345703,0.003493070602416992
49,"(2, 3)",0.5,9.0,18.0,1.5974044799804688e-05,0.0039861202239990234,0.004261016845703125
50,"(2, 3)",0.47368421052631576,9.0,19.0,2.288818359375e-05,0.003629922866821289,0.003983974456787109
51,"(1, 1)",0.5,9.0,18.0,2.4080276489257812e-05,0.003245115280151367,0.003381013870239258
52,"(1, 1)",0.47368421052631576,9.0,19.0,2.09808349609375e-05,0.0030739307403564453,0.0033550262451171875
53,"(3, 5)",0.4473684210526316,8.5,19.0,1.4066696166992188e-05,0.002938985824584961,0.0031859874725341797
