Iteration,Move,Q,V,N,tU,tR,tT
0,"(0, 1)",0.0,0.0,2.0,3.0994415283203125e-06,0.0002529621124267578,0.00038313865661621094
1,"(1, 0)",0.0,0.0,2.0,1.1920928955078125e-06,0.0002391338348388672,0.00034809112548828125
2,"(4, 1)",0.0,0.0,2.0,9.5367431640625e-07,0.0002429485321044922,0.0003459453582763672
3,"(0, 4)",0.0,0.0,2.0,0.0,0.00031304359436035156,0.0004169940948486328
4,"(0, 2)",0.0,0.0,2.0,9.5367431640625e-07,0.0002529621124267578,0.0003600120544433594
5,"(3, 1)",0.0,0.0,2.0,0.0,0.0002551078796386719,0.0003819465637207031
6,"(0, 1)",0.0,0.0,3.0,1.3828277587890625e-05,0.00022792816162109375,0.0003619194030761719
7,"(3, 1)",0.0,0.0,3.0,9.059906005859375e-06,0.0002200603485107422,0.00034999847412109375
8,"(0, 4)",0.0,0.0,3.0,7.867813110351562e-06,0.00020694732666015625,0.0003299713134765625
9,"(1, 0)",0.0,0.0,3.0,8.106231689453125e-06,0.00020384788513183594,0.00032210350036621094
10,"(4, 1)",0.0,0.0,3.0,7.867813110351562e-06,0.0002071857452392578,0.000331878662109375
11,"(0, 2)",0.0,0.0,3.0,9.059906005859375e-06,0.00020694732666015625,0.00032901763916015625
12,"(0, 1)",0.0,0.0,4.0,7.867813110351562e-06,0.00021386146545410156,0.0003268718719482422
13,"(3, 1)",0.0,0.0,4.0,7.867813110351562e-06,0.0001971721649169922,0.0003159046173095703
14,"(0, 4)",0.0,0.0,4.0,8.106231689453125e-06,0.0002110004425048828,0.00032806396484375
15,"(1, 0)",0.0,0.0,4.0,8.106231689453125e-06,0.00019598007202148438,0.00031304359436035156
16,"(4, 1)",0.0,0.0,4.0,9.059906005859375e-06,0.00020885467529296875,0.00033211708068847656
17,"(0, 2)",0.0,0.0,4.0,7.867813110351562e-06,0.0002219676971435547,0.0003428459167480469
18,"(0, 1)",0.0,0.0,5.0,8.106231689453125e-06,0.00019097328186035156,0.0003120899200439453
19,"(3, 1)",0.0,0.0,5.0,6.9141387939453125e-06,0.00019812583923339844,0.00031185150146484375
20,"(0, 4)",0.0,0.0,5.0,8.106231689453125e-06,0.00021219253540039062,0.0003330707550048828
21,"(1, 0)",0.0,0.0,5.0,9.059906005859375e-06,0.00017905235290527344,0.0002961158752441406
22,"(4, 1)",0.0,0.0,5.0,8.106231689453125e-06,0.00020384788513183594,0.00032210350036621094
23,"(0, 2)",0.0,0.0,5.0,7.867813110351562e-06,0.00019812583923339844,0.0003159046173095703
24,"(0, 1)",0.0,0.0,6.0,8.106231689453125e-06,0.00020503997802734375,0.0003249645233154297
