Iteration,Move,Q,V,N,tU,tR,tT
0,"(1, 6)",0.5,1.0,2.0,3.0994415283203125e-06,0.0022668838500976562,0.0024590492248535156
1,"(5, 1)",0.0,0.0,2.0,9.5367431640625e-07,0.002237081527709961,0.0024149417877197266
2,"(6, 1)",0.5,1.0,2.0,0.0,0.0022258758544921875,0.002404928207397461
3,"(7, 6)",0.0,0.0,2.0,0.0,0.002234935760498047,0.0024077892303466797
4,"(4, 1)",0.5,1.0,2.0,0.0,0.0024030208587646484,0.0025811195373535156
5,"(3, 6)",0.0,0.0,2.0,9.5367431640625e-07,0.0021638870239257812,0.002337932586669922
6,"(3, 5)",0.0,0.0,2.0,9.5367431640625e-07,0.002321004867553711,0.0025339126586914062
7,"(0, 6)",0.5,1.0,2.0,0.0,0.0022881031036376953,0.0024759769439697266
8,"(3, 2)",0.5,1.0,2.0,0.0,0.0022470951080322266,0.0024199485778808594
9,"(6, 6)",0.5,1.0,2.0,9.5367431640625e-07,0.0023109912872314453,0.0024890899658203125
10,"(5, 3)",0.0,0.0,2.0,9.5367431640625e-07,0.002115011215209961,0.002290964126586914
11,"(1, 4)",0.5,1.0,2.0,9.5367431640625e-07,0.0022149085998535156,0.0024008750915527344
12,"(3, 2)",0.5,1.5,3.0,1.5020370483398438e-05,0.0021190643310546875,0.0023300647735595703
13,"(6, 6)",0.6666666666666666,2.0,3.0,1.1920928955078125e-05,0.002807140350341797,0.0030219554901123047
14,"(6, 1)",0.6666666666666666,2.0,3.0,1.4066696166992188e-05,0.0021369457244873047,0.002376079559326172
15,"(1, 4)",0.6666666666666666,2.0,3.0,1.1920928955078125e-05,0.0024118423461914062,0.0026259422302246094
16,"(0, 6)",0.3333333333333333,1.0,3.0,1.3828277587890625e-05,0.0024590492248535156,0.0027048587799072266
17,"(1, 6)",0.6666666666666666,2.0,3.0,1.4066696166992188e-05,0.0027840137481689453,0.003031015396118164
18,"(4, 1)",0.6666666666666666,2.0,3.0,1.4066696166992188e-05,0.002276897430419922,0.002493143081665039
19,"(6, 6)",0.75,3.0,4.0,1.2159347534179688e-05,0.002137899398803711,0.0023651123046875
20,"(6, 1)",0.75,3.0,4.0,1.1920928955078125e-05,0.002329111099243164,0.0025420188903808594
21,"(1, 4)",0.75,3.0,4.0,1.3113021850585938e-05,0.0021860599517822266,0.002418041229248047
22,"(1, 6)",0.75,3.0,4.0,1.2159347534179688e-05,0.0023598670959472656,0.0025739669799804688
23,"(4, 1)",0.75,3.0,4.0,1.1920928955078125e-05,0.002368927001953125,0.002622842788696289
24,"(6, 6)",0.6,3.0,5.0,1.0967254638671875e-05,0.0023360252380371094,0.0025548934936523438
25,"(6, 1)",0.6,3.0,5.0,1.4066696166992188e-05,0.002490997314453125,0.002741098403930664
26,"(1, 4)",0.8,4.0,5.0,1.4066696166992188e-05,0.0024957656860351562,0.002741098403930664
27,"(1, 6)",0.6,3.0,5.0,1.4066696166992188e-05,0.002568960189819336,0.002827882766723633
28,"(4, 1)",0.8,4.0,5.0,1.5020370483398438e-05,0.0023889541625976562,0.0026400089263916016
29,"(3, 2)",0.625,2.5,4.0,1.2874603271484375e-05,0.002527952194213867,0.002768993377685547
30,"(1, 4)",0.6666666666666666,4.0,6.0,1.621246337890625e-05,0.0026748180389404297,0.002946138381958008
31,"(4, 1)",0.8333333333333334,5.0,6.0,1.6927719116210938e-05,0.0027740001678466797,0.003062009811401367
32,"(3, 2)",0.7,3.5,5.0,2.09808349609375e-05,0.002435922622680664,0.002707958221435547
33,"(4, 1)",0.8571428571428571,6.0,7.0,1.3113021850585938e-05,0.002103090286254883,0.0023260116577148438
34,"(3, 2)",0.75,4.5,6.0,1.1920928955078125e-05,0.002110004425048828,0.0023169517517089844
35,"(3, 6)",0.3333333333333333,1.0,3.0,1.1920928955078125e-05,0.0024008750915527344,0.002618074417114258
36,"(5, 1)",0.0,0.0,3.0,1.1920928955078125e-05,0.002176046371459961,0.0023870468139648438
37,"(5, 3)",0.0,0.0,3.0,1.2159347534179688e-05,0.0021600723266601562,0.0023691654205322266
38,"(7, 6)",0.0,0.0,3.0,1.0967254638671875e-05,0.0022249221801757812,0.0024209022521972656
39,"(3, 5)",0.3333333333333333,1.0,3.0,1.2159347534179688e-05,0.0021369457244873047,0.0023469924926757812
40,"(0, 6)",0.5,2.0,4.0,1.1920928955078125e-05,0.0021619796752929688,0.0023698806762695312
41,"(3, 6)",0.5,2.0,4.0,1.2159347534179688e-05,0.002218008041381836,0.002444028854370117
42,"(3, 5)",0.5,2.0,4.0,1.1920928955078125e-05,0.002237081527709961,0.002454996109008789
43,"(4, 1)",0.875,7.0,8.0,1.1920928955078125e-05,0.0021238327026367188,0.0023338794708251953
44,"(0, 6)",0.4,2.0,5.0,1.0967254638671875e-05,0.00215911865234375,0.002368927001953125
45,"(3, 6)",0.6,3.0,5.0,1.1205673217773438e-05,0.002248048782348633,0.0024611949920654297
46,"(3, 5)",0.6,3.0,5.0,1.0967254638671875e-05,0.002128124237060547,0.002341032028198242
47,"(3, 2)",0.7857142857142857,5.5,7.0,1.0967254638671875e-05,0.0020978450775146484,0.0023131370544433594
48,"(4, 1)",0.8888888888888888,8.0,9.0,1.1920928955078125e-05,0.0019659996032714844,0.002167940139770508
49,"(6, 6)",0.6666666666666666,4.0,6.0,1.2159347534179688e-05,0.002206087112426758,0.002421140670776367
50,"(6, 1)",0.6666666666666666,4.0,6.0,1.0967254638671875e-05,0.002145051956176758,0.002351999282836914
51,"(1, 6)",0.5,3.0,6.0,1.1920928955078125e-05,0.002164125442504883,0.0023789405822753906
52,"(3, 6)",0.6666666666666666,4.0,6.0,1.2159347534179688e-05,0.002034902572631836,0.0022439956665039062
53,"(3, 5)",0.6666666666666666,4.0,6.0,1.5974044799804688e-05,0.002048015594482422,0.002446889877319336
54,"(3, 2)",0.8125,6.5,8.0,1.2874603271484375e-05,0.0022208690643310547,0.0024390220642089844
55,"(4, 1)",0.8,8.0,10.0,1.1920928955078125e-05,0.0022020339965820312,0.0024039745330810547
56,"(6, 6)",0.5714285714285714,4.0,7.0,1.5974044799804688e-05,0.0022809505462646484,0.002507925033569336
57,"(6, 1)",0.7142857142857143,5.0,7.0,1.1920928955078125e-05,0.0022258758544921875,0.0024518966674804688
58,"(1, 4)",0.5714285714285714,4.0,7.0,1.2874603271484375e-05,0.0024831295013427734,0.002732992172241211
59,"(3, 6)",0.7142857142857143,5.0,7.0,2.002716064453125e-05,0.002608060836791992,0.0028738975524902344
60,"(3, 5)",0.7142857142857143,5.0,7.0,2.4080276489257812e-05,0.0023229122161865234,0.002599000930786133
61,"(3, 2)",0.7222222222222222,6.5,9.0,2.09808349609375e-05,0.0021979808807373047,0.0024390220642089844
62,"(6, 1)",0.625,5.0,8.0,1.3113021850585938e-05,0.002471923828125,0.002722024917602539
63,"(3, 6)",0.75,6.0,8.0,2.002716064453125e-05,0.0020558834075927734,0.0022890567779541016
64,"(3, 5)",0.625,5.0,8.0,1.6927719116210938e-05,0.0020880699157714844,0.002315044403076172
65,"(3, 6)",0.7777777777777778,7.0,9.0,1.811981201171875e-05,0.002106904983520508,0.002348184585571289
66,"(3, 6)",0.8,8.0,10.0,1.5020370483398438e-05,0.0021200180053710938,0.0023450851440429688
67,"(3, 6)",0.7272727272727273,8.0,11.0,1.5974044799804688e-05,0.0021448135375976562,0.0023641586303710938
68,"(4, 1)",0.8181818181818182,9.0,11.0,1.1920928955078125e-05,0.0022428035736083984,0.0024700164794921875
69,"(0, 6)",0.5,3.0,6.0,1.0967254638671875e-05,0.002187967300415039,0.0023970603942871094
70,"(4, 1)",0.75,9.0,12.0,2.002716064453125e-05,0.0020499229431152344,0.0022780895233154297
71,"(3, 2)",0.75,7.5,10.0,1.811981201171875e-05,0.0020630359649658203,0.002274036407470703
72,"(0, 6)",0.5714285714285714,4.0,7.0,1.0967254638671875e-05,0.002090930938720703,0.002290964126586914
73,"(1, 6)",0.5714285714285714,4.0,7.0,1.2159347534179688e-05,0.0022521018981933594,0.0025229454040527344
74,"(5, 1)",0.0,0.0,4.0,1.3828277587890625e-05,0.0021758079528808594,0.0024089813232421875
75,"(5, 3)",0.25,1.0,4.0,1.2159347534179688e-05,0.002173900604248047,0.002382040023803711
76,"(5, 3)",0.4,2.0,5.0,1.0967254638671875e-05,0.0021588802337646484,0.002377033233642578
77,"(5, 3)",0.3333333333333333,2.0,6.0,1.1920928955078125e-05,0.0020987987518310547,0.0023040771484375
78,"(7, 6)",0.25,1.0,4.0,1.1920928955078125e-05,0.002201080322265625,0.0024518966674804688
79,"(7, 6)",0.4,2.0,5.0,1.0967254638671875e-05,0.002235889434814453,0.0024459362030029297
80,"(7, 6)",0.5,3.0,6.0,1.2159347534179688e-05,0.002165079116821289,0.002377033233642578
81,"(7, 6)",0.5714285714285714,4.0,7.0,1.0967254638671875e-05,0.0020990371704101562,0.0023119449615478516
82,"(6, 6)",0.625,5.0,8.0,1.6927719116210938e-05,0.001965045928955078,0.0021839141845703125
83,"(1, 4)",0.625,5.0,8.0,1.2159347534179688e-05,0.002115964889526367,0.0023369789123535156
84,"(0, 6)",0.5,4.0,8.0,1.1920928955078125e-05,0.0021440982818603516,0.0023479461669921875
85,"(1, 6)",0.625,5.0,8.0,1.0967254638671875e-05,0.0022389888763427734,0.002446889877319336
86,"(7, 6)",0.625,5.0,8.0,1.6927719116210938e-05,0.001965045928955078,0.0021848678588867188
87,"(3, 2)",0.6818181818181818,7.5,11.0,1.6927719116210938e-05,0.002003908157348633,0.002216815948486328
88,"(6, 6)",0.5555555555555556,5.0,9.0,1.5974044799804688e-05,0.0019979476928710938,0.0022220611572265625
89,"(6, 1)",0.6666666666666666,6.0,9.0,1.0967254638671875e-05,0.0021741390228271484,0.002421140670776367
90,"(1, 4)",0.6666666666666666,6.0,9.0,1.2159347534179688e-05,0.0022869110107421875,0.0024971961975097656
91,"(1, 6)",0.5555555555555556,5.0,9.0,1.1920928955078125e-05,0.0022470951080322266,0.0024619102478027344
92,"(7, 6)",0.6666666666666666,6.0,9.0,1.6927719116210938e-05,0.002020120620727539,0.0022459030151367188
93,"(3, 5)",0.6666666666666666,6.0,9.0,1.5974044799804688e-05,0.0020859241485595703,0.0023059844970703125
94,"(6, 1)",0.6,6.0,10.0,1.1920928955078125e-05,0.002131938934326172,0.0023429393768310547
95,"(1, 4)",0.7,7.0,10.0,1.7881393432617188e-05,0.002168893814086914,0.0024018287658691406
96,"(7, 6)",0.7,7.0,10.0,1.5974044799804688e-05,0.0020461082458496094,0.0022649765014648438
97,"(3, 5)",0.7,7.0,10.0,1.5020370483398438e-05,0.0020678043365478516,0.0022840499877929688
98,"(1, 4)",0.6363636363636364,7.0,11.0,1.6927719116210938e-05,0.0019729137420654297,0.002187013626098633
