Iteration,Move,Q,V,N,tU,tR,tT
0,"(2, 3)",0.5,1.0,2.0,2.1457672119140625e-06,0.004523038864135742,0.004770994186401367
1,"(1, 5)",0.5,1.0,2.0,9.5367431640625e-07,0.004525184631347656,0.004750967025756836
2,"(1, 5)",0.3333333333333333,1.0,3.0,1.0013580322265625e-05,0.004808187484741211,0.0050280094146728516
3,"(2, 3)",0.6666666666666666,2.0,3.0,6.9141387939453125e-06,0.004387855529785156,0.0046100616455078125
4,"(2, 3)",0.5,2.0,4.0,6.9141387939453125e-06,0.0044901371002197266,0.004698038101196289
5,"(2, 3)",0.6,3.0,5.0,7.152557373046875e-06,0.004522085189819336,0.0047321319580078125
6,"(2, 3)",0.5,3.0,6.0,5.9604644775390625e-06,0.0044019222259521484,0.004617929458618164
7,"(1, 5)",0.25,1.0,4.0,5.9604644775390625e-06,0.004508018493652344,0.0047190189361572266
8,"(2, 3)",0.5,3.5,7.0,1.1920928955078125e-05,0.004825115203857422,0.005095005035400391
9,"(1, 5)",0.4,2.0,5.0,9.059906005859375e-06,0.005445003509521484,0.0057370662689208984
10,"(1, 5)",0.4166666666666667,2.5,6.0,9.059906005859375e-06,0.005712985992431641,0.005969047546386719
11,"(2, 3)",0.4375,3.5,8.0,2.193450927734375e-05,0.005465030670166016,0.0058040618896484375
12,"(1, 5)",0.35714285714285715,2.5,7.0,1.1920928955078125e-05,0.0049669742584228516,0.005205869674682617
13,"(2, 3)",0.5,4.5,9.0,1.9073486328125e-05,0.004426002502441406,0.004725217819213867
14,"(2, 3)",0.55,5.5,10.0,1.5020370483398438e-05,0.0043239593505859375,0.004647016525268555
15,"(2, 3)",0.5909090909090909,6.5,11.0,1.2159347534179688e-05,0.004279136657714844,0.004536151885986328
16,"(2, 3)",0.625,7.5,12.0,1.0967254638671875e-05,0.004514932632446289,0.0047719478607177734
17,"(2, 3)",0.5769230769230769,7.5,13.0,1.2874603271484375e-05,0.004270792007446289,0.004542827606201172
18,"(1, 5)",0.4375,3.5,8.0,6.9141387939453125e-06,0.00462794303894043,0.004847049713134766
19,"(1, 5)",0.3888888888888889,3.5,9.0,5.9604644775390625e-06,0.00475311279296875,0.004987955093383789
20,"(2, 3)",0.6071428571428571,8.5,14.0,1.0967254638671875e-05,0.0043179988861083984,0.004590034484863281
21,"(2, 3)",0.5666666666666667,8.5,15.0,1.2159347534179688e-05,0.0043599605560302734,0.004616975784301758
22,"(1, 5)",0.45,4.5,10.0,1.3113021850585938e-05,0.00432586669921875,0.004585981369018555
23,"(1, 5)",0.5,5.5,11.0,1.2874603271484375e-05,0.004130125045776367,0.004385948181152344
24,"(1, 5)",0.4583333333333333,5.5,12.0,1.2159347534179688e-05,0.004537105560302734,0.004796028137207031
25,"(2, 3)",0.53125,8.5,16.0,1.0967254638671875e-05,0.004324913024902344,0.004582881927490234
26,"(1, 5)",0.5,6.5,13.0,1.3113021850585938e-05,0.005511045455932617,0.005796194076538086
27,"(1, 5)",0.4642857142857143,6.5,14.0,1.5974044799804688e-05,0.0045130252838134766,0.004829883575439453
28,"(2, 3)",0.5,8.5,17.0,1.2874603271484375e-05,0.0046269893646240234,0.00492095947265625
29,"(1, 5)",0.5,7.5,15.0,1.621246337890625e-05,0.004934072494506836,0.005218982696533203
30,"(1, 5)",0.53125,8.5,16.0,1.5020370483398438e-05,0.004309892654418945,0.004570960998535156
31,"(1, 5)",0.5588235294117647,9.5,17.0,1.3113021850585938e-05,0.005023002624511719,0.0053021907806396484
32,"(1, 5)",0.5833333333333334,10.5,18.0,2.09808349609375e-05,0.0054509639739990234,0.005800008773803711
33,"(1, 5)",0.5789473684210527,11.0,19.0,1.7881393432617188e-05,0.004400014877319336,0.004669904708862305
34,"(1, 5)",0.55,11.0,20.0,1.5974044799804688e-05,0.0046329498291015625,0.004917144775390625
35,"(2, 3)",0.4722222222222222,8.5,18.0,1.2874603271484375e-05,0.004271984100341797,0.004528999328613281
36,"(1, 5)",0.5238095238095238,11.0,21.0,1.2874603271484375e-05,0.004309892654418945,0.0046160221099853516
37,"(1, 5)",0.5227272727272727,11.5,22.0,1.4066696166992188e-05,0.00463414192199707,0.004908084869384766
38,"(2, 3)",0.4473684210526316,8.5,19.0,1.0967254638671875e-05,0.0045490264892578125,0.004803180694580078
39,"(1, 5)",0.5,11.5,23.0,1.2874603271484375e-05,0.004303932189941406,0.004555940628051758
40,"(2, 3)",0.425,8.5,20.0,1.1205673217773438e-05,0.004391908645629883,0.004645109176635742
41,"(1, 5)",0.5208333333333334,12.5,24.0,1.4066696166992188e-05,0.004559040069580078,0.004813194274902344
42,"(1, 5)",0.54,13.5,25.0,1.2874603271484375e-05,0.0042798519134521484,0.004539012908935547
43,"(1, 5)",0.5576923076923077,14.5,26.0,1.3113021850585938e-05,0.004491090774536133,0.0047609806060791016
44,"(1, 5)",0.5740740740740741,15.5,27.0,1.2874603271484375e-05,0.004475116729736328,0.004756927490234375
45,"(1, 5)",0.5892857142857143,16.5,28.0,1.3113021850585938e-05,0.004318952560424805,0.004583120346069336
46,"(1, 5)",0.603448275862069,17.5,29.0,1.3113021850585938e-05,0.004132986068725586,0.004394054412841797
47,"(1, 5)",0.5833333333333334,17.5,30.0,1.3113021850585938e-05,0.004396915435791016,0.004660129547119141
48,"(1, 5)",0.5645161290322581,17.5,31.0,1.2874603271484375e-05,0.0044519901275634766,0.0047130584716796875
