Iteration,Move,Q,V,N,tU,tR,tT
0,"(3, 1)",0.0,0.0,2.0,2.86102294921875e-06,0.00017714500427246094,0.0003070831298828125
1,"(0, 4)",0.0,0.0,2.0,1.1920928955078125e-06,0.00017309188842773438,0.0002701282501220703
2,"(0, 2)",0.0,0.0,2.0,9.5367431640625e-07,0.00017309188842773438,0.00027298927307128906
3,"(3, 0)",0.0,0.0,2.0,0.0,0.000186920166015625,0.00028705596923828125
4,"(4, 1)",0.0,0.0,2.0,0.0,0.00017118453979492188,0.00026988983154296875
5,"(3, 0)",0.0,0.0,3.0,1.2874603271484375e-05,0.00012421607971191406,0.00024199485778808594
6,"(3, 1)",0.0,0.0,3.0,7.867813110351562e-06,0.0001399517059326172,0.000247955322265625
7,"(4, 1)",0.0,0.0,3.0,7.867813110351562e-06,0.00013303756713867188,0.00024390220642089844
8,"(0, 2)",0.0,0.0,3.0,6.9141387939453125e-06,0.00013709068298339844,0.000247955322265625
9,"(0, 4)",0.0,0.0,3.0,6.9141387939453125e-06,0.00013494491577148438,0.00024890899658203125
10,"(3, 0)",0.0,0.0,4.0,6.9141387939453125e-06,0.0001380443572998047,0.00024390220642089844
11,"(3, 1)",0.0,0.0,4.0,7.152557373046875e-06,0.000141143798828125,0.0002460479736328125
12,"(4, 1)",0.0,0.0,4.0,6.9141387939453125e-06,0.00013494491577148438,0.00024390220642089844
13,"(0, 2)",0.0,0.0,4.0,7.867813110351562e-06,0.00014209747314453125,0.0002529621124267578
14,"(0, 4)",0.0,0.0,4.0,6.9141387939453125e-06,0.0001499652862548828,0.0002598762512207031
15,"(3, 0)",0.0,0.0,5.0,6.9141387939453125e-06,0.00011396408081054688,0.0002269744873046875
16,"(3, 1)",0.0,0.0,5.0,8.106231689453125e-06,0.0001361370086669922,0.000247955322265625
17,"(4, 1)",0.0,0.0,5.0,8.106231689453125e-06,0.00014781951904296875,0.00026106834411621094
18,"(0, 2)",0.0,0.0,5.0,7.867813110351562e-06,0.0001361370086669922,0.0002617835998535156
19,"(0, 4)",0.0,0.0,5.0,8.106231689453125e-06,0.00013017654418945312,0.0002570152282714844
20,"(3, 0)",0.0,0.0,6.0,6.9141387939453125e-06,0.00014710426330566406,0.0002639293670654297
21,"(3, 1)",0.0,0.0,6.0,8.106231689453125e-06,0.00014495849609375,0.0002589225769042969
