Iteration,Move,Q,V,N,tU,tR,tT
0,"(0, 2)",0.5,1.0,2.0,1.9073486328125e-06,0.00011014938354492188,0.00023794174194335938
1,"(6, 0)",0.5,1.0,2.0,0.0,0.00011920928955078125,0.00024008750915527344
2,"(4, 0)",0.5,1.0,2.0,9.5367431640625e-07,8.20159912109375e-05,0.00020384788513183594
3,"(0, 4)",0.5,1.0,2.0,9.5367431640625e-07,0.0001289844512939453,0.00025081634521484375
4,"(0, 4)",0.6666666666666666,2.0,3.0,1.1920928955078125e-05,7.700920104980469e-05,0.00023484230041503906
5,"(4, 0)",0.6666666666666666,2.0,3.0,9.059906005859375e-06,8.487701416015625e-05,0.00020813941955566406
6,"(0, 2)",0.6666666666666666,2.0,3.0,8.106231689453125e-06,6.699562072753906e-05,0.00018906593322753906
7,"(6, 0)",0.6666666666666666,2.0,3.0,8.106231689453125e-06,6.890296936035156e-05,0.0001850128173828125
8,"(0, 4)",0.75,3.0,4.0,8.106231689453125e-06,4.410743713378906e-05,0.0001671314239501953
9,"(4, 0)",0.75,3.0,4.0,7.867813110351562e-06,7.009506225585938e-05,0.0001938343048095703
10,"(0, 2)",0.75,3.0,4.0,8.106231689453125e-06,8.20159912109375e-05,0.0002071857452392578
11,"(6, 0)",0.75,3.0,4.0,7.867813110351562e-06,6.29425048828125e-05,0.00018286705017089844
12,"(0, 4)",0.8,4.0,5.0,1.3113021850585938e-05,8.821487426757812e-06,0.00013589859008789062
13,"(4, 0)",0.8,4.0,5.0,1.2159347534179688e-05,4.00543212890625e-05,0.00017499923706054688
14,"(0, 2)",0.8,4.0,5.0,1.2159347534179688e-05,9.059906005859375e-06,0.00013399124145507812
15,"(6, 0)",0.8,4.0,5.0,7.867813110351562e-06,6.985664367675781e-05,0.0001919269561767578
16,"(0, 4)",0.8333333333333334,5.0,6.0,1.2159347534179688e-05,4.792213439941406e-05,0.00017905235290527344
17,"(4, 0)",0.8333333333333334,5.0,6.0,1.2159347534179688e-05,4.696846008300781e-05,0.00017714500427246094
18,"(0, 2)",0.8333333333333334,5.0,6.0,1.1920928955078125e-05,4.696846008300781e-05,0.00017690658569335938
19,"(6, 0)",0.8333333333333334,5.0,6.0,8.106231689453125e-06,5.817413330078125e-05,0.00017309188842773438
20,"(0, 4)",0.8571428571428571,6.0,7.0,1.2159347534179688e-05,1.5020370483398438e-05,0.00015497207641601562
21,"(4, 0)",0.8571428571428571,6.0,7.0,1.1920928955078125e-05,4.1961669921875e-05,0.0001709461212158203
