Iteration,Move,Q,V,N,tU,tR,tT
0,"(0, 2)",0.0,0.0,2.0,5.0067901611328125e-06,0.00039696693420410156,0.0005679130554199219
1,"(0, 6)",0.0,0.0,2.0,9.5367431640625e-07,0.0003509521484375,0.0004699230194091797
2,"(1, 0)",0.0,0.0,2.0,0.0,0.0003790855407714844,0.0005030632019042969
3,"(0, 1)",0.0,0.0,2.0,0.0,0.0003769397735595703,0.0004971027374267578
4,"(3, 1)",0.5,1.0,2.0,0.0,0.0004239082336425781,0.0005490779876708984
5,"(3, 1)",0.3333333333333333,1.0,3.0,1.3828277587890625e-05,0.00036716461181640625,0.0005238056182861328
6,"(3, 1)",0.25,1.0,4.0,1.0013580322265625e-05,0.00034499168395996094,0.0004949569702148438
7,"(0, 1)",0.0,0.0,3.0,8.106231689453125e-06,0.0003058910369873047,0.00044417381286621094
8,"(0, 6)",0.0,0.0,3.0,7.867813110351562e-06,0.0003409385681152344,0.0004839897155761719
9,"(1, 0)",0.0,0.0,3.0,9.059906005859375e-06,0.0003809928894042969,0.0005490779876708984
10,"(0, 2)",0.0,0.0,3.0,1.0013580322265625e-05,0.0003650188446044922,0.0005290508270263672
11,"(3, 1)",0.2,1.0,5.0,9.059906005859375e-06,0.0003509521484375,0.0005061626434326172
12,"(0, 1)",0.0,0.0,4.0,8.821487426757812e-06,0.0003039836883544922,0.0004429817199707031
13,"(0, 6)",0.0,0.0,4.0,9.059906005859375e-06,0.0003268718719482422,0.0004649162292480469
14,"(1, 0)",0.0,0.0,4.0,9.059906005859375e-06,0.00046515464782714844,0.0006201267242431641
15,"(0, 2)",0.0,0.0,4.0,1.2159347534179688e-05,0.00045990943908691406,0.0006489753723144531
16,"(3, 1)",0.16666666666666666,1.0,6.0,8.106231689453125e-06,0.0002830028533935547,0.0004210472106933594
17,"(0, 1)",0.0,0.0,5.0,7.867813110351562e-06,0.00033593177795410156,0.00047898292541503906
18,"(0, 6)",0.0,0.0,5.0,6.9141387939453125e-06,0.0003600120544433594,0.00049591064453125
19,"(1, 0)",0.0,0.0,5.0,8.106231689453125e-06,0.0003840923309326172,0.0005221366882324219
20,"(0, 2)",0.0,0.0,5.0,9.059906005859375e-06,0.00033092498779296875,0.0004839897155761719
21,"(3, 1)",0.14285714285714285,1.0,7.0,9.059906005859375e-06,0.00035381317138671875,0.0005099773406982422
22,"(0, 1)",0.0,0.0,6.0,1.0013580322265625e-05,0.00039386749267578125,0.0005631446838378906
23,"(0, 6)",0.0,0.0,6.0,9.059906005859375e-06,0.0003390312194824219,0.0004820823669433594
24,"(1, 0)",0.08333333333333333,0.5,6.0,7.867813110351562e-06,0.0003139972686767578,0.0004508495330810547
25,"(0, 2)",0.0,0.0,6.0,8.106231689453125e-06,0.0003249645233154297,0.0004661083221435547
26,"(1, 0)",0.07142857142857142,0.5,7.0,7.152557373046875e-06,0.00032806396484375,0.0004639625549316406
27,"(3, 1)",0.125,1.0,8.0,8.106231689453125e-06,0.0003402233123779297,0.0004792213439941406
28,"(0, 1)",0.0,0.0,7.0,9.059906005859375e-06,0.0003399848937988281,0.0004849433898925781
29,"(0, 6)",0.0,0.0,7.0,9.059906005859375e-06,0.0003428459167480469,0.0004761219024658203
30,"(0, 2)",0.0,0.0,7.0,7.867813110351562e-06,0.00028896331787109375,0.00041794776916503906
31,"(1, 0)",0.0625,0.5,8.0,7.152557373046875e-06,0.0003190040588378906,0.00045108795166015625
32,"(3, 1)",0.1111111111111111,1.0,9.0,1.5020370483398438e-05,0.00028014183044433594,0.0004239082336425781
33,"(0, 1)",0.0,0.0,8.0,6.9141387939453125e-06,0.0003190040588378906,0.00045490264892578125
34,"(0, 6)",0.0,0.0,8.0,7.152557373046875e-06,0.0004210472106933594,0.0005640983581542969
35,"(0, 2)",0.0,0.0,8.0,1.0967254638671875e-05,0.0003879070281982422,0.0005679130554199219
36,"(1, 0)",0.05555555555555555,0.5,9.0,2.6941299438476562e-05,0.00035500526428222656,0.0005180835723876953
37,"(3, 1)",0.1,1.0,10.0,1.6927719116210938e-05,0.00027680397033691406,0.0004520416259765625
38,"(1, 0)",0.05,0.5,10.0,1.4066696166992188e-05,0.000270843505859375,0.00041604042053222656
39,"(0, 1)",0.0,0.0,9.0,6.9141387939453125e-06,0.00029087066650390625,0.0004210472106933594
40,"(0, 6)",0.1111111111111111,1.0,9.0,7.867813110351562e-06,0.0003159046173095703,0.00046181678771972656
41,"(0, 6)",0.1,1.0,10.0,1.5020370483398438e-05,0.00023317337036132812,0.0003809928894042969
42,"(0, 2)",0.0,0.0,9.0,1.5020370483398438e-05,0.00026106834411621094,0.0004138946533203125
43,"(0, 6)",0.09090909090909091,1.0,11.0,1.2874603271484375e-05,0.00028514862060546875,0.0004258155822753906
44,"(3, 1)",0.09090909090909091,1.0,11.0,1.4066696166992188e-05,0.0002491474151611328,0.0003871917724609375
45,"(0, 6)",0.08333333333333333,1.0,12.0,1.4066696166992188e-05,0.00020503997802734375,0.00034499168395996094
46,"(3, 1)",0.08333333333333333,1.0,12.0,1.3113021850585938e-05,0.0002579689025878906,0.0004019737243652344
47,"(1, 0)",0.045454545454545456,0.5,11.0,1.3828277587890625e-05,0.0003521442413330078,0.0005350112915039062
48,"(0, 1)",0.0,0.0,10.0,2.3126602172851562e-05,0.0004210472106933594,0.0006530284881591797
49,"(0, 2)",0.0,0.0,10.0,2.09808349609375e-05,0.00034117698669433594,0.0005769729614257812
50,"(0, 6)",0.07692307692307693,1.0,13.0,2.002716064453125e-05,0.0003409385681152344,0.0005431175231933594
51,"(3, 1)",0.07692307692307693,1.0,13.0,2.002716064453125e-05,0.0003840923309326172,0.0005779266357421875
52,"(1, 0)",0.041666666666666664,0.5,12.0,2.002716064453125e-05,0.00039005279541015625,0.0005931854248046875
53,"(0, 1)",0.0,0.0,11.0,2.002716064453125e-05,0.0003781318664550781,0.0007998943328857422
54,"(0, 2)",0.0,0.0,11.0,2.002716064453125e-05,0.0003829002380371094,0.0005931854248046875
55,"(0, 6)",0.07142857142857142,1.0,14.0,1.9073486328125e-05,0.00035881996154785156,0.0005600452423095703
56,"(3, 1)",0.07142857142857142,1.0,14.0,2.002716064453125e-05,0.00037407875061035156,0.0005819797515869141
57,"(1, 0)",0.038461538461538464,0.5,13.0,2.09808349609375e-05,0.000331878662109375,0.0005331039428710938
58,"(0, 1)",0.0,0.0,12.0,1.9073486328125e-05,0.0002789497375488281,0.00045108795166015625
59,"(0, 2)",0.0,0.0,12.0,1.7881393432617188e-05,0.0003230571746826172,0.0004940032958984375
60,"(0, 6)",0.06666666666666667,1.0,15.0,1.7881393432617188e-05,0.0003249645233154297,0.0005040168762207031
61,"(3, 1)",0.06666666666666667,1.0,15.0,1.811981201171875e-05,0.0003299713134765625,0.0005061626434326172
62,"(1, 0)",0.03571428571428571,0.5,14.0,1.7881393432617188e-05,0.00032901763916015625,0.0005049705505371094
63,"(0, 1)",0.0,0.0,13.0,1.6927719116210938e-05,0.00034499168395996094,0.0005240440368652344
64,"(0, 2)",0.0,0.0,13.0,1.811981201171875e-05,0.00030684471130371094,0.0004820823669433594
65,"(0, 6)",0.0625,1.0,16.0,1.811981201171875e-05,0.00031113624572753906,0.0004870891571044922
66,"(3, 1)",0.0625,1.0,16.0,2.002716064453125e-05,0.0003139972686767578,0.0005180835723876953
67,"(1, 0)",0.03333333333333333,0.5,15.0,2.002716064453125e-05,0.00033402442932128906,0.0005180835723876953
68,"(0, 1)",0.07142857142857142,1.0,14.0,2.002716064453125e-05,0.0003809928894042969,0.0005881786346435547
69,"(0, 1)",0.06666666666666667,1.0,15.0,2.6226043701171875e-05,0.0004799365997314453,0.0007450580596923828
70,"(0, 1)",0.0625,1.0,16.0,1.5020370483398438e-05,0.00028586387634277344,0.0004470348358154297
71,"(0, 2)",0.0,0.0,14.0,1.5974044799804688e-05,0.0003008842468261719,0.00047206878662109375
