Iteration,Move,Q,V,N,tU,tR,tT
0,"(2, 3)",0.5,1.0,2.0,1.9073486328125e-06,0.0020439624786376953,0.0022499561309814453
1,"(2, 7)",0.5,1.0,2.0,0.0,0.002348184585571289,0.002540111541748047
2,"(5, 3)",0.5,1.0,2.0,0.0,0.002191781997680664,0.0023729801177978516
3,"(3, 5)",0.25,0.5,2.0,9.5367431640625e-07,0.0020570755004882812,0.002237081527709961
4,"(2, 7)",0.3333333333333333,1.0,3.0,1.2874603271484375e-05,0.0021021366119384766,0.0023088455200195312
5,"(2, 3)",0.3333333333333333,1.0,3.0,8.106231689453125e-06,0.0020220279693603516,0.0022280216217041016
6,"(5, 3)",0.6666666666666666,2.0,3.0,8.106231689453125e-06,0.0021200180053710938,0.0023119449615478516
7,"(5, 3)",0.5,2.0,4.0,8.106231689453125e-06,0.002068042755126953,0.002262115478515625
8,"(3, 5)",0.5,1.5,3.0,7.867813110351562e-06,0.0019359588623046875,0.0021209716796875
9,"(3, 5)",0.375,1.5,4.0,6.9141387939453125e-06,0.0020368099212646484,0.002229928970336914
10,"(2, 7)",0.25,1.0,4.0,8.106231689453125e-06,0.0020270347595214844,0.0022220611572265625
11,"(2, 3)",0.25,1.0,4.0,6.9141387939453125e-06,0.0020728111267089844,0.0022580623626708984
12,"(5, 3)",0.6,3.0,5.0,7.867813110351562e-06,0.0019659996032714844,0.002157926559448242
13,"(5, 3)",0.5833333333333334,3.5,6.0,6.9141387939453125e-06,0.0019979476928710938,0.002218961715698242
14,"(3, 5)",0.3,1.5,5.0,7.152557373046875e-06,0.0019919872283935547,0.0021810531616210938
15,"(5, 3)",0.6428571428571429,4.5,7.0,7.867813110351562e-06,0.0021610260009765625,0.0023539066314697266
16,"(5, 3)",0.5625,4.5,8.0,6.9141387939453125e-06,0.002101898193359375,0.0022940635681152344
17,"(2, 7)",0.4,2.0,5.0,6.9141387939453125e-06,0.0023598670959472656,0.002566099166870117
18,"(2, 7)",0.3333333333333333,2.0,6.0,8.106231689453125e-06,0.0025589466094970703,0.002772092819213867
19,"(2, 3)",0.2,1.0,5.0,1.2159347534179688e-05,0.0023381710052490234,0.0025861263275146484
20,"(5, 3)",0.5,4.5,9.0,9.059906005859375e-06,0.0023190975189208984,0.0025420188903808594
21,"(3, 5)",0.25,1.5,6.0,1.0013580322265625e-05,0.0021309852600097656,0.0023610591888427734
22,"(2, 7)",0.42857142857142855,3.0,7.0,8.106231689453125e-06,0.0020911693572998047,0.0022971630096435547
23,"(2, 7)",0.375,3.0,8.0,6.9141387939453125e-06,0.0020329952239990234,0.0022199153900146484
24,"(5, 3)",0.55,5.5,10.0,1.3828277587890625e-05,0.001992940902709961,0.0022039413452148438
25,"(5, 3)",0.5,5.5,11.0,1.4066696166992188e-05,0.0020089149475097656,0.00222015380859375
26,"(2, 3)",0.3333333333333333,2.0,6.0,7.867813110351562e-06,0.0019609928131103516,0.002157926559448242
27,"(2, 3)",0.2857142857142857,2.0,7.0,7.867813110351562e-06,0.002399921417236328,0.0026268959045410156
28,"(3, 5)",0.35714285714285715,2.5,7.0,9.059906005859375e-06,0.0022809505462646484,0.0025038719177246094
29,"(3, 5)",0.4375,3.5,8.0,7.867813110351562e-06,0.002292156219482422,0.002505064010620117
30,"(3, 5)",0.3888888888888889,3.5,9.0,9.059906005859375e-06,0.0023031234741210938,0.0025081634521484375
31,"(2, 7)",0.3333333333333333,3.0,9.0,9.059906005859375e-06,0.0023069381713867188,0.0025250911712646484
32,"(5, 3)",0.4583333333333333,5.5,12.0,1.5974044799804688e-05,0.002340078353881836,0.002582073211669922
33,"(2, 3)",0.25,2.0,8.0,1.1920928955078125e-05,0.002568960189819336,0.0028069019317626953
34,"(3, 5)",0.45,4.5,10.0,1.1920928955078125e-05,0.002413034439086914,0.0026578903198242188
35,"(3, 5)",0.5,5.5,11.0,1.0967254638671875e-05,0.0021638870239257812,0.0023767948150634766
36,"(3, 5)",0.5416666666666666,6.5,12.0,8.106231689453125e-06,0.0020699501037597656,0.00226593017578125
37,"(3, 5)",0.5769230769230769,7.5,13.0,8.106231689453125e-06,0.0020351409912109375,0.0022230148315429688
38,"(3, 5)",0.5357142857142857,7.5,14.0,7.867813110351562e-06,0.0021598339080810547,0.0023469924926757812
39,"(3, 5)",0.5666666666666667,8.5,15.0,1.811981201171875e-05,0.0018970966339111328,0.002115011215209961
40,"(3, 5)",0.53125,8.5,16.0,1.71661376953125e-05,0.0018968582153320312,0.0020999908447265625
41,"(5, 3)",0.4230769230769231,5.5,13.0,1.3828277587890625e-05,0.0020918846130371094,0.002294778823852539
