Iteration,Move,Q,V,N,tU,tR,tT
0,"(2, 3)",0.5,1.0,2.0,2.1457672119140625e-06,0.003799915313720703,0.0040400028228759766
1,"(6, 5)",0.0,0.0,2.0,9.5367431640625e-07,0.003637075424194336,0.0038690567016601562
2,"(5, 5)",0.0,0.0,2.0,9.5367431640625e-07,0.0038487911224365234,0.004072904586791992
3,"(7, 4)",0.25,0.5,2.0,9.5367431640625e-07,0.003966093063354492,0.004209041595458984
4,"(1, 1)",0.5,1.0,2.0,9.5367431640625e-07,0.003629922866821289,0.003859996795654297
5,"(3, 5)",0.0,0.0,2.0,9.5367431640625e-07,0.003751993179321289,0.0039730072021484375
6,"(2, 3)",0.6666666666666666,2.0,3.0,1.2874603271484375e-05,0.003676176071166992,0.003901958465576172
7,"(1, 1)",0.3333333333333333,1.0,3.0,1.0013580322265625e-05,0.003596067428588867,0.003813028335571289
8,"(2, 3)",0.5,2.0,4.0,9.059906005859375e-06,0.003679990768432617,0.0038940906524658203
9,"(7, 4)",0.5,1.5,3.0,9.059906005859375e-06,0.003467082977294922,0.003673076629638672
10,"(7, 4)",0.375,1.5,4.0,1.1920928955078125e-05,0.004041194915771484,0.004314899444580078
11,"(1, 1)",0.5,2.0,4.0,1.0967254638671875e-05,0.004428863525390625,0.004675149917602539
12,"(2, 3)",0.5,2.5,5.0,1.0967254638671875e-05,0.004734992980957031,0.004982948303222656
13,"(1, 1)",0.6,3.0,5.0,1.0967254638671875e-05,0.004374027252197266,0.004645824432373047
14,"(5, 5)",0.0,0.0,3.0,1.71661376953125e-05,0.0043909549713134766,0.004703998565673828
15,"(6, 5)",0.0,0.0,3.0,2.09808349609375e-05,0.0045909881591796875,0.004907131195068359
16,"(3, 5)",0.0,0.0,3.0,1.71661376953125e-05,0.003710031509399414,0.003971099853515625
17,"(1, 1)",0.6666666666666666,4.0,6.0,8.821487426757812e-06,0.0038988590240478516,0.0041120052337646484
18,"(1, 1)",0.7142857142857143,5.0,7.0,9.059906005859375e-06,0.0036270618438720703,0.0038361549377441406
19,"(1, 1)",0.75,6.0,8.0,7.867813110351562e-06,0.0038900375366210938,0.004109859466552734
20,"(1, 1)",0.6666666666666666,6.0,9.0,9.059906005859375e-06,0.0035910606384277344,0.0038008689880371094
21,"(7, 4)",0.5,2.5,5.0,1.3113021850585938e-05,0.003342866897583008,0.003596067428588867
22,"(7, 4)",0.4166666666666667,2.5,6.0,1.0967254638671875e-05,0.0032939910888671875,0.0035448074340820312
23,"(2, 3)",0.4166666666666667,2.5,6.0,9.059906005859375e-06,0.0036449432373046875,0.0038640499114990234
24,"(1, 1)",0.6,6.0,10.0,9.059906005859375e-06,0.0036220550537109375,0.0038352012634277344
25,"(5, 5)",0.25,1.0,4.0,9.059906005859375e-06,0.0035021305084228516,0.0037260055541992188
