Iteration,Move,Q,V,N,tU,tR,tT
0,"(0, 2)",0.0,0.0,2.0,1.9073486328125e-06,6.699562072753906e-05,0.00016498565673828125
1,"(4, 1)",0.0,0.0,2.0,9.5367431640625e-07,3.814697265625e-05,0.0001220703125
2,"(4, 1)",0.0,0.0,3.0,8.106231689453125e-06,8.106231689453125e-06,9.918212890625e-05
3,"(0, 2)",0.0,0.0,3.0,5.9604644775390625e-06,4.00543212890625e-05,0.0001327991485595703
4,"(4, 1)",0.0,0.0,4.0,5.9604644775390625e-06,1.0967254638671875e-05,0.00010895729064941406
5,"(0, 2)",0.0,0.0,4.0,5.9604644775390625e-06,6.103515625e-05,0.00015687942504882812
6,"(4, 1)",0.0,0.0,5.0,6.9141387939453125e-06,3.695487976074219e-05,0.00014901161193847656
7,"(0, 2)",0.0,0.0,5.0,9.059906005859375e-06,1.8835067749023438e-05,0.00012111663818359375
8,"(4, 1)",0.0,0.0,6.0,1.0013580322265625e-05,8.821487426757812e-06,5.793571472167969e-05
9,"(0, 2)",0.0,0.0,6.0,8.106231689453125e-06,2.09808349609375e-05,0.0001251697540283203
10,"(4, 1)",0.0,0.0,7.0,9.059906005859375e-06,1.5974044799804688e-05,0.00011610984802246094
11,"(0, 2)",0.0,0.0,7.0,8.821487426757812e-06,2.2172927856445312e-05,0.00014400482177734375
12,"(4, 1)",0.0,0.0,8.0,1.1920928955078125e-05,1.5974044799804688e-05,7.796287536621094e-05
13,"(0, 2)",0.0,0.0,8.0,1.3828277587890625e-05,4.0531158447265625e-06,0.00014400482177734375
14,"(4, 1)",0.0,0.0,9.0,1.0967254638671875e-05,1.1205673217773438e-05,7.104873657226562e-05
15,"(0, 2)",0.0,0.0,9.0,1.3828277587890625e-05,5.0067901611328125e-06,0.00014281272888183594
16,"(4, 1)",0.0,0.0,10.0,1.1920928955078125e-05,2.384185791015625e-05,0.0001499652862548828
17,"(0, 2)",0.0,0.0,10.0,1.6927719116210938e-05,5.0067901611328125e-06,9.608268737792969e-05
18,"(4, 1)",0.0,0.0,11.0,1.0967254638671875e-05,1.6927719116210938e-05,7.700920104980469e-05
19,"(0, 2)",0.0,0.0,11.0,1.3828277587890625e-05,5.0067901611328125e-06,0.00015592575073242188
20,"(4, 1)",0.0,0.0,12.0,9.059906005859375e-06,8.821487426757812e-06,5.793571472167969e-05
21,"(0, 2)",0.0,0.0,12.0,1.2874603271484375e-05,4.0531158447265625e-06,7.486343383789062e-05
22,"(4, 1)",0.0,0.0,13.0,1.1920928955078125e-05,2.86102294921875e-06,0.00011396408081054688
23,"(0, 2)",0.0,0.0,13.0,1.3828277587890625e-05,3.814697265625e-06,7.581710815429688e-05
24,"(4, 1)",0.0,0.0,14.0,9.059906005859375e-06,1.3113021850585938e-05,6.198883056640625e-05
25,"(0, 2)",0.0,0.0,14.0,1.3828277587890625e-05,4.0531158447265625e-06,7.486343383789062e-05
26,"(4, 1)",0.0,0.0,15.0,9.059906005859375e-06,9.059906005859375e-06,5.698204040527344e-05
27,"(0, 2)",0.0,0.0,15.0,1.3828277587890625e-05,3.0994415283203125e-06,7.581710815429688e-05
28,"(4, 1)",0.0,0.0,16.0,1.1920928955078125e-05,3.814697265625e-06,0.00011205673217773438
29,"(0, 2)",0.0,0.0,16.0,1.2874603271484375e-05,3.0994415283203125e-06,7.581710815429688e-05
30,"(4, 1)",0.0,0.0,17.0,9.059906005859375e-06,1.3828277587890625e-05,6.198883056640625e-05
31,"(0, 2)",0.0,0.0,17.0,1.3828277587890625e-05,3.814697265625e-06,7.581710815429688e-05
32,"(4, 1)",0.0,0.0,18.0,9.059906005859375e-06,9.059906005859375e-06,5.698204040527344e-05
33,"(0, 2)",0.0,0.0,18.0,1.3828277587890625e-05,4.0531158447265625e-06,7.486343383789062e-05
34,"(4, 1)",0.0,0.0,19.0,1.3828277587890625e-05,3.814697265625e-06,7.581710815429688e-05
35,"(0, 2)",0.0,0.0,19.0,1.4066696166992188e-05,4.0531158447265625e-06,7.510185241699219e-05
36,"(4, 1)",0.0,0.0,20.0,8.106231689453125e-06,1.3113021850585938e-05,6.103515625e-05
37,"(0, 2)",0.0,0.0,20.0,1.3828277587890625e-05,3.814697265625e-06,7.605552673339844e-05
38,"(4, 1)",0.0,0.0,21.0,9.059906005859375e-06,9.059906005859375e-06,5.698204040527344e-05
