Iteration,Move,Q,V,N,tU,tR,tT
0,"(0, 2)",0.5,1.0,2.0,4.0531158447265625e-06,0.0005340576171875,0.0007030963897705078
1,"(7, 6)",0.5,1.0,2.0,9.5367431640625e-07,0.00045990943908691406,0.000598907470703125
2,"(6, 6)",0.5,1.0,2.0,1.1920928955078125e-06,0.0004439353942871094,0.0005841255187988281
3,"(3, 1)",0.5,1.0,2.0,9.5367431640625e-07,0.00049591064453125,0.0006361007690429688
4,"(6, 0)",0.5,1.0,2.0,9.5367431640625e-07,0.0004889965057373047,0.0006349086761474609
5,"(0, 4)",0.5,1.0,2.0,0.0,0.0005068778991699219,0.0006539821624755859
6,"(0, 3)",0.5,1.0,2.0,9.5367431640625e-07,0.0005350112915039062,0.0006821155548095703
7,"(4, 1)",0.0,0.0,2.0,9.5367431640625e-07,0.0005040168762207031,0.0006568431854248047
8,"(6, 6)",0.6666666666666666,2.0,3.0,1.6927719116210938e-05,0.00043487548828125,0.0006039142608642578
9,"(7, 6)",0.6666666666666666,2.0,3.0,1.0967254638671875e-05,0.00041103363037109375,0.0005729198455810547
10,"(3, 1)",0.6666666666666666,2.0,3.0,1.0967254638671875e-05,0.00044798851013183594,0.0006101131439208984
11,"(6, 0)",0.6666666666666666,2.0,3.0,1.0967254638671875e-05,0.0003948211669921875,0.0005559921264648438
12,"(0, 4)",0.6666666666666666,2.0,3.0,1.0967254638671875e-05,0.0004451274871826172,0.0006089210510253906
13,"(0, 3)",0.3333333333333333,1.0,3.0,1.0967254638671875e-05,0.00048804283142089844,0.0006520748138427734
14,"(0, 2)",0.6666666666666666,2.0,3.0,1.1205673217773438e-05,0.0004801750183105469,0.0006470680236816406
15,"(6, 6)",0.75,3.0,4.0,1.0013580322265625e-05,0.00038886070251464844,0.0005419254302978516
16,"(7, 6)",0.75,3.0,4.0,1.0967254638671875e-05,0.0003960132598876953,0.0005469322204589844
17,"(3, 1)",0.75,3.0,4.0,1.0967254638671875e-05,0.0004589557647705078,0.0006339550018310547
18,"(6, 0)",0.75,3.0,4.0,1.0967254638671875e-05,0.00041484832763671875,0.0005860328674316406
19,"(0, 4)",0.75,3.0,4.0,1.0013580322265625e-05,0.0004220008850097656,0.0005919933319091797
20,"(0, 2)",0.75,3.0,4.0,1.0967254638671875e-05,0.00045990943908691406,0.0006341934204101562
21,"(6, 6)",0.8,4.0,5.0,1.0967254638671875e-05,0.00043702125549316406,0.0005979537963867188
22,"(7, 6)",0.8,4.0,5.0,1.0967254638671875e-05,0.00037407875061035156,0.0005240440368652344
23,"(3, 1)",0.8,4.0,5.0,1.0013580322265625e-05,0.0004220008850097656,0.0005929470062255859
24,"(6, 0)",0.8,4.0,5.0,1.0013580322265625e-05,0.0004100799560546875,0.0005619525909423828
25,"(0, 4)",0.8,4.0,5.0,1.0013580322265625e-05,0.0004038810729980469,0.0005600452423095703
26,"(0, 2)",0.6,3.0,5.0,1.0013580322265625e-05,0.0004317760467529297,0.0005948543548583984
27,"(6, 6)",0.8333333333333334,5.0,6.0,1.0967254638671875e-05,0.00044417381286621094,0.0006148815155029297
28,"(7, 6)",0.8333333333333334,5.0,6.0,1.0967254638671875e-05,0.0004000663757324219,0.0005688667297363281
29,"(3, 1)",0.75,4.5,6.0,1.0967254638671875e-05,0.00044989585876464844,0.0006248950958251953
30,"(6, 0)",0.6666666666666666,4.0,6.0,1.3113021850585938e-05,0.0005059242248535156,0.0006990432739257812
31,"(0, 4)",0.8333333333333334,5.0,6.0,1.2874603271484375e-05,0.00038313865661621094,0.00055694580078125
32,"(6, 6)",0.8571428571428571,6.0,7.0,1.0013580322265625e-05,0.0003578662872314453,0.0005071163177490234
33,"(7, 6)",0.8571428571428571,6.0,7.0,9.059906005859375e-06,0.00044798851013183594,0.0006201267242431641
34,"(0, 4)",0.8571428571428571,6.0,7.0,1.0967254638671875e-05,0.0004680156707763672,0.0006380081176757812
35,"(4, 1)",0.3333333333333333,1.0,3.0,1.0013580322265625e-05,0.0003819465637207031,0.0005369186401367188
36,"(0, 3)",0.5,2.0,4.0,1.0013580322265625e-05,0.0003631114959716797,0.0005021095275878906
37,"(4, 1)",0.25,1.0,4.0,9.059906005859375e-06,0.0003719329833984375,0.0005128383636474609
38,"(6, 6)",0.875,7.0,8.0,1.5020370483398438e-05,0.00030112266540527344,0.0004601478576660156
39,"(7, 6)",0.875,7.0,8.0,9.059906005859375e-06,0.00034308433532714844,0.0004749298095703125
40,"(0, 4)",0.875,7.0,8.0,1.0013580322265625e-05,0.00032901763916015625,0.000476837158203125
41,"(0, 3)",0.6,3.0,5.0,9.775161743164062e-06,0.00037288665771484375,0.0005137920379638672
42,"(3, 1)",0.6428571428571429,4.5,7.0,8.821487426757812e-06,0.0003578662872314453,0.0004990100860595703
43,"(6, 6)",0.7777777777777778,7.0,9.0,1.3828277587890625e-05,0.0002760887145996094,0.0004208087921142578
44,"(7, 6)",0.8888888888888888,8.0,9.0,8.821487426757812e-06,0.0003578662872314453,0.0004918575286865234
45,"(0, 4)",0.8888888888888888,8.0,9.0,1.5020370483398438e-05,0.0003120899200439453,0.0004611015319824219
46,"(0, 3)",0.6666666666666666,4.0,6.0,9.059906005859375e-06,0.0003781318664550781,0.0005199909210205078
47,"(0, 2)",0.6666666666666666,4.0,6.0,9.059906005859375e-06,0.0004360675811767578,0.0005850791931152344
48,"(7, 6)",0.9,9.0,10.0,1.5974044799804688e-05,0.00031304359436035156,0.00046706199645996094
49,"(0, 4)",0.9,9.0,10.0,1.4066696166992188e-05,0.0003151893615722656,0.00047206878662109375
50,"(6, 0)",0.7142857142857143,5.0,7.0,8.821487426757812e-06,0.0003561973571777344,0.0004940032958984375
51,"(0, 3)",0.7142857142857143,5.0,7.0,8.821487426757812e-06,0.00036406517028808594,0.0005059242248535156
52,"(0, 2)",0.7142857142857143,5.0,7.0,9.059906005859375e-06,0.00035500526428222656,0.0004899501800537109
53,"(7, 6)",0.8181818181818182,9.0,11.0,1.5020370483398438e-05,0.00029087066650390625,0.0005872249603271484
54,"(0, 4)",0.9090909090909091,10.0,11.0,1.5974044799804688e-05,0.0002899169921875,0.0004439353942871094
55,"(6, 0)",0.75,6.0,8.0,9.059906005859375e-06,0.00036215782165527344,0.0005040168762207031
56,"(0, 3)",0.75,6.0,8.0,9.059906005859375e-06,0.00036215782165527344,0.0005030632019042969
57,"(0, 2)",0.625,5.0,8.0,1.4066696166992188e-05,0.00032901763916015625,0.0004870891571044922
58,"(0, 4)",0.9166666666666666,11.0,12.0,1.5020370483398438e-05,0.0003409385681152344,0.0004949569702148438
59,"(6, 0)",0.6666666666666666,6.0,9.0,9.059906005859375e-06,0.0003609657287597656,0.0005030632019042969
60,"(0, 3)",0.6666666666666666,6.0,9.0,1.4066696166992188e-05,0.00033783912658691406,0.0004889965057373047
61,"(0, 4)",0.9230769230769231,12.0,13.0,1.5020370483398438e-05,0.00034308433532714844,0.0004951953887939453
62,"(6, 6)",0.8,8.0,10.0,1.4066696166992188e-05,0.0003039836883544922,0.00045299530029296875
63,"(3, 1)",0.5625,4.5,8.0,9.059906005859375e-06,0.0003590583801269531,0.0005109310150146484
64,"(0, 4)",0.8571428571428571,12.0,14.0,1.4781951904296875e-05,0.0002911090850830078,0.00044989585876464844
65,"(6, 6)",0.8181818181818182,9.0,11.0,1.4066696166992188e-05,0.00030493736267089844,0.0004620552062988281
66,"(4, 1)",0.4,2.0,5.0,1.0013580322265625e-05,0.0003600120544433594,0.0004999637603759766
67,"(4, 1)",0.5,3.0,6.0,9.775161743164062e-06,0.0003910064697265625,0.0005447864532470703
68,"(6, 6)",0.8333333333333334,10.0,12.0,1.5020370483398438e-05,0.00049591064453125,0.0006740093231201172
69,"(7, 6)",0.75,9.0,12.0,2.09808349609375e-05,0.0003941059112548828,0.0005800724029541016
70,"(4, 1)",0.5714285714285714,4.0,7.0,1.0013580322265625e-05,0.0003859996795654297,0.0005371570587158203
71,"(6, 6)",0.8461538461538461,11.0,13.0,1.5020370483398438e-05,0.00038695335388183594,0.0005619525909423828
72,"(4, 1)",0.625,5.0,8.0,1.1920928955078125e-05,0.0004131793975830078,0.0005741119384765625
73,"(4, 1)",0.6666666666666666,6.0,9.0,1.1205673217773438e-05,0.00042510032653808594,0.0006210803985595703
74,"(0, 2)",0.6666666666666666,6.0,9.0,1.6927719116210938e-05,0.00041985511779785156,0.0006229877471923828
75,"(6, 6)",0.8571428571428571,12.0,14.0,2.288818359375e-05,0.00045013427734375,0.0006809234619140625
76,"(6, 0)",0.6,6.0,10.0,1.3828277587890625e-05,0.00041794776916503906,0.0006108283996582031
77,"(0, 3)",0.7,7.0,10.0,1.811981201171875e-05,0.0003559589385986328,0.0005390644073486328
78,"(4, 1)",0.7,7.0,10.0,1.0013580322265625e-05,0.0003859996795654297,0.0005371570587158203
79,"(0, 2)",0.7,7.0,10.0,1.5020370483398438e-05,0.0003619194030761719,0.0005280971527099609
80,"(6, 6)",0.8666666666666667,13.0,15.0,1.5020370483398438e-05,0.00035190582275390625,0.0005140304565429688
81,"(0, 4)",0.8666666666666667,13.0,15.0,1.6927719116210938e-05,0.0003311634063720703,0.0004949569702148438
82,"(0, 3)",0.7272727272727273,8.0,11.0,1.5020370483398438e-05,0.0003039836883544922,0.00045609474182128906
83,"(4, 1)",0.6818181818181818,7.5,11.0,1.6927719116210938e-05,0.0003521442413330078,0.0005199909210205078
84,"(0, 2)",0.6818181818181818,7.5,11.0,1.5974044799804688e-05,0.0002980232238769531,0.0004699230194091797
85,"(6, 6)",0.875,14.0,16.0,1.71661376953125e-05,0.0003910064697265625,0.0005800724029541016
86,"(0, 4)",0.875,14.0,16.0,2.288818359375e-05,0.0004429817199707031,0.0006580352783203125
87,"(0, 3)",0.6666666666666666,8.0,12.0,2.09808349609375e-05,0.0003638267517089844,0.0005948543548583984
88,"(6, 6)",0.8823529411764706,15.0,17.0,1.9073486328125e-05,0.00041604042053222656,0.0005941390991210938
89,"(0, 4)",0.8235294117647058,14.0,17.0,1.5020370483398438e-05,0.0003230571746826172,0.0004811286926269531
90,"(3, 1)",0.5,4.5,9.0,9.059906005859375e-06,0.00036907196044921875,0.0005118846893310547
91,"(7, 6)",0.7692307692307693,10.0,13.0,1.5974044799804688e-05,0.0003490447998046875,0.0005018711090087891
92,"(6, 6)",0.8888888888888888,16.0,18.0,1.5020370483398438e-05,0.00031304359436035156,0.00047397613525390625
93,"(7, 6)",0.7857142857142857,11.0,14.0,1.5974044799804688e-05,0.00032401084899902344,0.0004839897155761719
94,"(6, 6)",0.8947368421052632,17.0,19.0,1.5020370483398438e-05,0.00032591819763183594,0.0004849433898925781
95,"(7, 6)",0.8,12.0,15.0,1.5020370483398438e-05,0.0002949237823486328,0.0004420280456542969
96,"(4, 1)",0.7083333333333334,8.5,12.0,1.6927719116210938e-05,0.0002760887145996094,0.00043201446533203125
97,"(0, 2)",0.7083333333333334,8.5,12.0,1.4066696166992188e-05,0.0003409385681152344,0.0004940032958984375
98,"(6, 6)",0.9,18.0,20.0,1.4066696166992188e-05,0.0003139972686767578,0.00047016143798828125
99,"(4, 1)",0.7307692307692307,9.5,13.0,1.5020370483398438e-05,0.00036907196044921875,0.0005209445953369141
100,"(0, 2)",0.7307692307692307,9.5,13.0,1.4066696166992188e-05,0.00035500526428222656,0.0005860328674316406
101,"(7, 6)",0.8125,13.0,16.0,1.621246337890625e-05,0.0003139972686767578,0.0004680156707763672
102,"(6, 6)",0.9047619047619048,19.0,21.0,1.5974044799804688e-05,0.0003349781036376953,0.0004968643188476562
103,"(4, 1)",0.75,10.5,14.0,1.5974044799804688e-05,0.0002930164337158203,0.0004439353942871094
104,"(0, 2)",0.75,10.5,14.0,1.4066696166992188e-05,0.0002758502960205078,0.00042819976806640625
105,"(7, 6)",0.8235294117647058,14.0,17.0,1.5020370483398438e-05,0.0002779960632324219,0.00043511390686035156
106,"(6, 6)",0.9090909090909091,20.0,22.0,1.5020370483398438e-05,0.00030303001403808594,0.0004658699035644531
107,"(4, 1)",0.7666666666666667,11.5,15.0,1.5020370483398438e-05,0.00031185150146484375,0.00047087669372558594
108,"(0, 2)",0.7,10.5,15.0,1.4066696166992188e-05,0.00032901763916015625,0.00047588348388671875
109,"(6, 0)",0.5909090909090909,6.5,11.0,1.6927719116210938e-05,0.00033593177795410156,0.0005140304565429688
110,"(7, 6)",0.8333333333333334,15.0,18.0,1.5974044799804688e-05,0.00030803680419921875,0.0004749298095703125
111,"(0, 4)",0.8333333333333334,15.0,18.0,1.6927719116210938e-05,0.0003781318664550781,0.0005168914794921875
112,"(6, 6)",0.9130434782608695,21.0,23.0,1.811981201171875e-05,0.000392913818359375,0.0005810260772705078
113,"(4, 1)",0.78125,12.5,16.0,1.5974044799804688e-05,0.0003399848937988281,0.0004980564117431641
114,"(7, 6)",0.8421052631578947,16.0,19.0,1.5020370483398438e-05,0.0003077983856201172,0.0004639625549316406
115,"(0, 4)",0.8421052631578947,16.0,19.0,1.5020370483398438e-05,0.0003399848937988281,0.000492095947265625
116,"(0, 3)",0.6923076923076923,9.0,13.0,1.5020370483398438e-05,0.0003209114074707031,0.0004820823669433594
117,"(6, 6)",0.875,21.0,24.0,1.6927719116210938e-05,0.00033593177795410156,0.0005087852478027344
118,"(4, 1)",0.7941176470588235,13.5,17.0,1.71661376953125e-05,0.00035881996154785156,0.0005280971527099609
119,"(7, 6)",0.85,17.0,20.0,1.5020370483398438e-05,0.00030493736267089844,0.00045299530029296875
120,"(0, 4)",0.85,17.0,20.0,1.5020370483398438e-05,0.00033402442932128906,0.0004899501800537109
121,"(0, 3)",0.6428571428571429,9.0,14.0,1.5020370483398438e-05,0.0002880096435546875,0.0004429817199707031
122,"(4, 1)",0.75,13.5,18.0,1.5974044799804688e-05,0.0002989768981933594,0.0004558563232421875
123,"(7, 6)",0.8571428571428571,18.0,21.0,1.5020370483398438e-05,0.0003600120544433594,0.0005180835723876953
124,"(0, 4)",0.8571428571428571,18.0,21.0,1.5020370483398438e-05,0.0003039836883544922,0.0004520416259765625
125,"(3, 1)",0.5,5.0,10.0,1.9073486328125e-05,0.00039005279541015625,0.0005638599395751953
126,"(7, 6)",0.8181818181818182,18.0,22.0,1.811981201171875e-05,0.0003597736358642578,0.0005280971527099609
127,"(0, 4)",0.8636363636363636,19.0,22.0,1.4781951904296875e-05,0.0003180503845214844,0.0004718303680419922
128,"(6, 0)",0.625,7.5,12.0,1.6927719116210938e-05,0.0003261566162109375,0.0004780292510986328
129,"(0, 4)",0.8695652173913043,20.0,23.0,1.5020370483398438e-05,0.0002999305725097656,0.0004520416259765625
130,"(6, 0)",0.6538461538461539,8.5,13.0,1.5974044799804688e-05,0.0003070831298828125,0.0004668235778808594
131,"(0, 4)",0.8333333333333334,20.0,24.0,1.3828277587890625e-05,0.000392913818359375,0.0005488395690917969
132,"(6, 0)",0.6785714285714286,9.5,14.0,1.5974044799804688e-05,0.0003108978271484375,0.0004639625549316406
133,"(6, 0)",0.6333333333333333,9.5,15.0,1.5020370483398438e-05,0.0002970695495605469,0.00044798851013183594
134,"(6, 6)",0.86,21.5,25.0,1.5020370483398438e-05,0.00028705596923828125,0.0004360675811767578
135,"(0, 2)",0.71875,11.5,16.0,1.5020370483398438e-05,0.0002961158752441406,0.00045108795166015625
136,"(0, 2)",0.7352941176470589,12.5,17.0,1.4066696166992188e-05,0.00032591819763183594,0.0004792213439941406
137,"(0, 2)",0.75,13.5,18.0,1.4066696166992188e-05,0.0003001689910888672,0.0004520416259765625
