Iteration,Move,Q,V,N,tU,tR,tT
0,"(1, 0)",0.0,0.0,2.0,3.0994415283203125e-06,0.00045800209045410156,0.0006709098815917969
1,"(0, 2)",0.0,0.0,2.0,1.1920928955078125e-06,0.0005230903625488281,0.0006520748138427734
2,"(4, 1)",0.0,0.0,2.0,0.0,0.0006721019744873047,0.0008080005645751953
3,"(6, 6)",0.0,0.0,2.0,0.0,0.0005910396575927734,0.0007541179656982422
4,"(3, 1)",0.0,0.0,2.0,0.0,0.0004870891571044922,0.000614166259765625
5,"(0, 1)",0.0,0.0,2.0,0.0,0.0004379749298095703,0.0005640983581542969
6,"(0, 6)",0.0,0.0,2.0,0.0,0.0004851818084716797,0.0006120204925537109
7,"(7, 0)",0.0,0.0,2.0,1.1920928955078125e-06,0.0004801750183105469,0.0006091594696044922
8,"(6, 0)",0.0,0.0,2.0,0.0,0.00045800209045410156,0.0005831718444824219
9,"(0, 1)",0.0,0.0,3.0,1.3828277587890625e-05,0.00043487548828125,0.0005848407745361328
10,"(7, 0)",0.0,0.0,3.0,1.0013580322265625e-05,0.0004169940948486328,0.0005640983581542969
11,"(6, 6)",0.0,0.0,3.0,9.059906005859375e-06,0.0003800392150878906,0.0005261898040771484
12,"(3, 1)",0.0,0.0,3.0,1.0013580322265625e-05,0.0004088878631591797,0.0005509853363037109
13,"(6, 0)",0.0,0.0,3.0,1.0013580322265625e-05,0.0004360675811767578,0.0005829334259033203
14,"(0, 6)",0.3333333333333333,1.0,3.0,1.0013580322265625e-05,0.0003910064697265625,0.0005319118499755859
15,"(0, 6)",0.25,1.0,4.0,9.059906005859375e-06,0.0004088878631591797,0.0005509853363037109
16,"(1, 0)",0.0,0.0,3.0,9.059906005859375e-06,0.00040411949157714844,0.0005459785461425781
17,"(4, 1)",0.0,0.0,3.0,1.0013580322265625e-05,0.00038814544677734375,0.0005350112915039062
18,"(0, 2)",0.0,0.0,3.0,9.059906005859375e-06,0.0004088878631591797,0.0005521774291992188
19,"(0, 6)",0.2,1.0,5.0,1.0013580322265625e-05,0.0004088878631591797,0.0005521774291992188
20,"(0, 1)",0.25,1.0,4.0,1.0013580322265625e-05,0.0004239082336425781,0.000576019287109375
21,"(0, 1)",0.2,1.0,5.0,8.821487426757812e-06,0.0003979206085205078,0.0005409717559814453
22,"(7, 0)",0.0,0.0,4.0,1.0013580322265625e-05,0.0004410743713378906,0.0005848407745361328
23,"(6, 6)",0.0,0.0,4.0,9.059906005859375e-06,0.0003859996795654297,0.0005321502685546875
24,"(3, 1)",0.0,0.0,4.0,9.059906005859375e-06,0.0004150867462158203,0.0005609989166259766
25,"(6, 0)",0.0,0.0,4.0,1.0013580322265625e-05,0.0004329681396484375,0.0005769729614257812
26,"(1, 0)",0.0,0.0,4.0,8.821487426757812e-06,0.0004248619079589844,0.0005719661712646484
27,"(4, 1)",0.0,0.0,4.0,1.0013580322265625e-05,0.00039196014404296875,0.0005409717559814453
28,"(0, 2)",0.0,0.0,4.0,9.059906005859375e-06,0.0004029273986816406,0.0005459785461425781
29,"(0, 1)",0.16666666666666666,1.0,6.0,1.0013580322265625e-05,0.0003840923309326172,0.0005290508270263672
30,"(0, 6)",0.16666666666666666,1.0,6.0,1.0013580322265625e-05,0.0004088878631591797,0.0005540847778320312
31,"(7, 0)",0.0,0.0,5.0,1.0013580322265625e-05,0.00040721893310546875,0.0005519390106201172
32,"(6, 6)",0.0,0.0,5.0,1.0013580322265625e-05,0.00035500526428222656,0.0005009174346923828
