Iteration,Move,Q,V,N,tU,tR,tT
0,"(4, 0)",0.0,0.0,2.0,2.1457672119140625e-06,0.00015592575073242188,0.0002760887145996094
1,"(4, 1)",0.0,0.0,2.0,9.5367431640625e-07,0.00013589859008789062,0.0002510547637939453
2,"(0, 4)",0.0,0.0,2.0,1.1920928955078125e-06,0.0001590251922607422,0.0002791881561279297
3,"(0, 2)",0.0,0.0,2.0,0.0,0.00013303756713867188,0.0002620220184326172
4,"(0, 3)",0.0,0.0,2.0,9.5367431640625e-07,0.00010704994201660156,0.0002148151397705078
5,"(0, 3)",0.0,0.0,3.0,1.3113021850585938e-05,8.797645568847656e-05,0.0002110004425048828
6,"(0, 4)",0.0,0.0,3.0,8.106231689453125e-06,9.584426879882812e-05,0.00021004676818847656
7,"(4, 1)",0.0,0.0,3.0,7.867813110351562e-06,8.797645568847656e-05,0.00019884109497070312
8,"(0, 2)",0.0,0.0,3.0,8.106231689453125e-06,5.602836608886719e-05,0.00018906593322753906
9,"(4, 0)",0.0,0.0,3.0,7.867813110351562e-06,8.988380432128906e-05,0.00021696090698242188
10,"(0, 3)",0.0,0.0,4.0,9.059906005859375e-06,7.390975952148438e-05,0.00020194053649902344
11,"(0, 4)",0.0,0.0,4.0,9.059906005859375e-06,0.00010585784912109375,0.00023102760314941406
12,"(4, 1)",0.0,0.0,4.0,9.059906005859375e-06,0.00010013580322265625,0.0002300739288330078
13,"(0, 2)",0.0,0.0,4.0,2.6941299438476562e-05,9.202957153320312e-05,0.00022983551025390625
14,"(4, 0)",0.0,0.0,4.0,1.5020370483398438e-05,9.179115295410156e-05,0.00021696090698242188
15,"(0, 3)",0.0,0.0,5.0,8.821487426757812e-06,8.606910705566406e-05,0.0002079010009765625
16,"(0, 4)",0.0,0.0,5.0,9.059906005859375e-06,9.012222290039062e-05,0.00021409988403320312
17,"(4, 1)",0.0,0.0,5.0,9.059906005859375e-06,0.00012683868408203125,0.0002830028533935547
18,"(0, 2)",0.0,0.0,5.0,1.2159347534179688e-05,0.0001361370086669922,0.00030303001403808594
19,"(4, 0)",0.0,0.0,5.0,1.2159347534179688e-05,0.0001308917999267578,0.0002911090850830078
20,"(0, 3)",0.0,0.0,6.0,1.1920928955078125e-05,0.00010395050048828125,0.0002620220184326172
21,"(0, 4)",0.0,0.0,6.0,1.1205673217773438e-05,0.00012302398681640625,0.00026917457580566406
22,"(4, 1)",0.0,0.0,6.0,1.0013580322265625e-05,0.00011086463928222656,0.0002541542053222656
23,"(0, 2)",0.0,0.0,6.0,1.0013580322265625e-05,0.00010514259338378906,0.00025200843811035156
24,"(4, 0)",0.0,0.0,6.0,9.775161743164062e-06,0.000102996826171875,0.00025200843811035156
25,"(0, 3)",0.0,0.0,7.0,1.5974044799804688e-05,8.606910705566406e-05,0.0002560615539550781
26,"(0, 4)",0.0,0.0,7.0,1.5974044799804688e-05,8.893013000488281e-05,0.00025582313537597656
27,"(4, 1)",0.0,0.0,7.0,1.0013580322265625e-05,0.00011610984802246094,0.0002620220184326172
28,"(0, 2)",0.0,0.0,7.0,1.1205673217773438e-05,0.00010800361633300781,0.00026917457580566406
29,"(4, 0)",0.0,0.0,7.0,1.1920928955078125e-05,0.00011897087097167969,0.00026488304138183594
30,"(0, 3)",0.0,0.0,8.0,1.71661376953125e-05,8.797645568847656e-05,0.0002551078796386719
31,"(0, 4)",0.0,0.0,8.0,1.6927719116210938e-05,8.797645568847656e-05,0.0002548694610595703
32,"(4, 1)",0.0,0.0,8.0,1.6927719116210938e-05,7.510185241699219e-05,0.00024008750915527344
33,"(0, 2)",0.0,0.0,8.0,1.71661376953125e-05,8.797645568847656e-05,0.00024509429931640625
